PooledFundId,AllocationYear,ReportApprovedDate,AllocationTypeId,AllocationSourceId,ClusterId,ClusterBudget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
15,2015,2016-06-19,8,2,10,198021.13,25240.0,22134.0,28231.0,43557.0,17918.0,27553.0,40714.0,49067.0
15,2015,2016-06-19,9,1,10,120000.5,1500.0,1500.0,3500.0,3500.0,2195.0,3990.0,2652.0,2420.0
15,2015,2016-06-20,8,2,10,222758.25,6670.0,9240.0,1370.0,1430.0,7194.0,11619.0,1630.0,1573.0
15,2015,2016-06-21,7,2,10,465000.0,,19520.0,,4880.0,,19520.0,,4880.0
15,2015,2016-06-23,7,2,11,1300000.0,36404.0,37882.0,54605.0,56823.0,69655.0,72479.0,104483.0,108723.0
15,2015,2016-06-23,8,2,6,300742.65,14190.0,17028.0,19157.0,20575.0,14190.0,17028.0,19157.0,20575.0
15,2015,2016-06-26,7,2,8,2500000.0,21000.0,21000.0,,,20279.0,20279.0,,
15,2015,2016-06-26,8,2,10,99009.9,12351.0,12230.0,13215.0,12857.0,10489.0,10383.0,11199.0,10929.0
15,2015,2016-06-26,11,2,8,1200000.0,840.0,840.0,,,981.0,981.0,,
15,2015,2016-06-27,8,2,4,123928.45,2962.0,6622.0,3382.0,4471.0,22770.0,38200.0,27000.0,56282.0
15,2015,2016-06-27,8,2,11,393777.23,16775.0,18625.0,19800.0,19800.0,15399.0,17098.0,18176.0,18177.0
15,2015,2016-07-04,8,2,10,123762.45,15590.0,10290.0,,,10722.0,15805.0,,
15,2015,2016-07-10,8,2,11,252346.53,8845.0,9200.0,13260.0,13805.0,8845.0,9200.0,13260.0,13805.0
15,2015,2016-07-10,11,2,11,297025.57,8550.0,9279.0,13361.0,13810.0,8550.0,9279.0,13361.0,13810.0
15,2015,2016-07-11,8,2,11,263792.09,3268.0,3548.0,1214.0,1307.0,3268.0,3548.0,1214.0,1307.0
15,2015,2016-07-17,8,2,6,305714.61,2982.0,6080.0,8522.0,9151.0,2982.0,6080.0,8522.0,9151.0
15,2015,2016-07-17,8,2,7,445545.37,143236.0,148175.0,98783.0,103722.0,79979.0,98159.0,192406.0,203388.0
15,2015,2016-07-17,11,2,7,2407991.34,,,2374681.0,2471606.0,,,2378922.0,2476021.0
15,2015,2016-07-19,8,2,9,865008.24,2934.0,38838.0,28566.0,29889.0,3973.0,21968.0,24953.0,27571.0
15,2015,2016-08-28,7,2,1,75321.62,178897.0,178897.0,178897.0,178897.0,178897.0,178897.0,178897.0,178897.0
15,2015,2016-08-28,8,2,1,69306.72,1470.0,2686.0,1200.0,1200.0,1547.0,4629.0,4356.0,4010.0
15,2015,2016-08-30,8,2,1,128712.87,1000.0,1500.0,800.0,1200.0,900.0,1600.0,800.0,1200.0
15,2015,2016-10-03,9,1,7,374015.5,134563.0,151695.0,201486.0,227169.0,315536.0,341956.0,230450.0,249657.0
15,2015,2016-10-03,11,2,7,1592009.24,,,2374681.0,2471606.0,,,2378922.0,2476021.0
15,2015,2016-10-04,8,2,11,198020.09,8400.0,9240.0,11340.0,13020.0,8920.0,9812.0,12042.0,13826.0
15,2015,2016-10-05,8,2,4,113861.39,3800.0,4700.0,1100.0,1150.0,1720.0,2400.0,1300.0,1400.0
15,2015,2016-10-05,8,2,10,99012.48,2317.0,3607.0,3085.0,4715.0,3513.0,4131.0,3628.0,4098.0
15,2015,2016-10-05,8,2,11,465517.82,23895.0,33175.0,23002.0,34565.0,24268.0,34401.0,22485.0,34533.0
15,2015,2016-10-09,8,2,7,244077.7,55122.0,81900.0,18800.0,27590.0,34852.0,94661.0,17157.0,37410.0
15,2015,2016-11-14,8,2,3,561929.5,596.0,1571.0,2412.0,3132.0,142.0,145.0,3928.0,5016.0
15,2015,2016-11-28,11,2,2,181633.1,1422.0,1631.0,509.0,553.0,1422.0,1631.0,509.0,553.0
15,2015,2016-12-01,8,2,9,229929.15,,1227.0,4539.0,5546.0,,369.0,3943.0,4151.0
15,2015,2017-01-08,8,2,1,277169.38,438.0,545.0,748.0,804.0,310.0,743.0,615.0,775.0
15,2015,2017-01-08,11,2,9,443900.2,,,2300.0,2300.0,,,2300.0,2300.0
15,2015,2017-01-31,11,2,1,696917.75,19200.0,30400.0,51200.0,59200.0,18073.0,35252.0,54219.0,55863.0
15,2015,2017-02-01,11,2,9,315028.0,,,1668.0,2033.0,,,1568.0,1738.0
15,2015,2017-02-05,11,2,4,317674.23,7052.0,25934.0,18920.0,20384.0,16697.0,23912.0,21125.0,19814.0
15,2015,2017-02-07,11,2,6,1200000.04,41777.0,43483.0,18270.0,18270.0,44600.0,49630.0,20680.0,20270.0
15,2015,2017-02-12,8,2,11,428858.65,23602.0,20888.0,20129.0,18802.0,30971.0,28801.0,32852.0,31410.0
15,2015,2017-02-12,11,2,1,299591.44,1789.0,2692.0,3798.0,4007.0,1389.0,1792.0,3198.0,3407.0
15,2015,2017-02-12,11,2,11,184983.74,101667.0,152683.0,83264.0,124871.0,101467.0,152483.0,83064.0,124671.0
15,2015,2017-02-13,8,2,12,341206.95,154000.0,126000.0,64800.0,55200.0,93269.0,146040.0,173529.0,187910.0
15,2015,2017-02-13,11,2,1,807997.77,3900.0,19146.0,3749.0,8520.0,760.0,13424.0,5197.0,9670.0
15,2015,2017-02-13,11,2,4,99000.9,1063.0,7970.0,1701.0,2550.0,658.0,4812.0,850.0,1530.0
15,2015,2017-02-13,11,2,12,299950.96,15150.0,18131.0,20851.0,20868.0,42093.0,50375.0,57933.0,57980.0
15,2015,2017-02-15,11,2,2,182160.65,2000.0,2500.0,1700.0,1300.0,2600.0,2500.0,1580.0,1420.0
15,2015,2017-02-16,11,2,1,748509.51,27000.0,38900.0,33400.0,34400.0,32176.0,36418.0,32273.0,34134.0
15,2015,2017-02-16,11,2,4,148334.1,377.0,495.0,624.0,624.0,376.0,495.0,623.0,626.0
15,2015,2017-02-16,11,2,7,173267.4,6285.0,15320.0,9820.0,7857.0,8217.0,23305.0,11376.0,10011.0
15,2015,2017-02-16,11,2,9,384073.29,,41186.0,5192.0,5403.0,4674.0,21356.0,19187.0,16258.0
