PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
15,2015,2017-10-22,11,2,272248.83,21015.0,24161.0,21872.0,22302.0,14378.0,19194.0,17844.0,17312.0,,,,,,,,
15,2015,2017-11-01,11,2,210826.38,6720.0,9740.0,3700.0,4400.0,7168.0,6929.0,5574.0,4225.0,,,,,,,,
15,2015,2017-12-11,8,2,454781.47,8023.0,8412.0,4475.0,5470.0,7892.0,8462.0,3956.0,5500.0,,,,,,,,
15,2015,2017-12-21,11,2,300000.78,8670.0,10930.0,2300.0,3600.0,6125.0,8085.0,5000.0,5290.0,,,,,,,,
15,2015,2018-01-22,11,2,346475.63,8698.0,11481.0,5845.0,8768.0,6550.0,7830.0,6206.0,7520.0,,,,,,,,
15,2015,2018-02-11,11,2,311181.71,1161.0,4386.0,4288.0,5353.0,1558.0,4653.0,4293.0,5084.0,,,,,,,,
15,2015,2022-03-24,11,2,201368.5,5184.0,8746.0,1170.0,1170.0,,,,,,,,,,,,
15,2016,2016-12-19,14,1,266227.13,,,750.0,750.0,,,794.0,906.0,,,,,,,,
15,2016,2017-01-08,14,1,374626.43,2142.0,6854.0,2856.0,2428.0,1520.0,4867.0,2028.0,1724.0,,,,,,,,
15,2016,2017-02-12,13,2,190186.08,153600.0,230400.0,125440.0,130560.0,153400.0,230200.0,125240.0,130360.0,,,,,,,,
15,2016,2017-02-12,14,1,1048756.32,18986.0,28807.0,14768.0,15922.0,20505.0,38170.0,10708.0,9100.0,,,,,,,,
15,2016,2017-03-07,14,1,244994.9,3742.0,11973.0,4989.0,4240.0,21200.0,29227.0,,,,,,,,,,
15,2016,2017-03-13,14,1,270994.62,27032.0,29278.0,10892.0,8742.0,26980.0,29150.0,11010.0,8615.0,,,,,,,,
15,2016,2017-04-05,13,2,799999.68,29403.0,30597.0,44100.0,45900.0,97723.0,101685.0,146585.0,152537.0,,,,,,,,
15,2016,2017-05-25,14,1,500000.0,1515.0,1779.0,6167.0,7539.0,1337.0,1570.0,5441.0,6652.0,,,,,,,,
15,2016,2017-05-28,14,1,60000.0,569.0,2655.0,266.0,305.0,569.0,2655.0,266.0,305.0,,,,,,,,
15,2016,2017-06-05,14,1,124224.65,4397.0,5893.0,1329.0,1381.0,1736.0,5843.0,2552.0,2568.0,,,,,,,,
15,2016,2017-06-07,14,1,500011.0,,,2500.0,2500.0,,,2922.0,3041.0,,,,,,,,
15,2016,2017-06-14,12,1,81453.11,,,27000.0,27000.0,,1.0,,,,,,,,,,
15,2016,2017-07-19,14,1,1008258.7999999999,2325961.0,2413339.0,3034816.0,2766318.0,2753710.0,2933850.0,3154205.0,3042781.0,,,,,,,,
15,2016,2017-10-09,13,2,1288032.85,92718.0,102665.0,88963.0,79178.0,94428.0,103307.0,90263.0,80242.0,,,,,,,,
15,2016,2017-10-11,13,2,379998.86,17003.0,21042.0,20286.0,20769.0,17971.0,21466.0,18451.0,18644.0,,,,,,,,
15,2016,2017-10-12,14,1,1163785.5,10382.0,14156.0,5567.0,7401.0,11331.0,16279.0,5168.0,7055.0,,,,,,,,
15,2016,2017-10-15,13,2,523322.02,5290.0,11854.0,7502.0,10958.0,14860.0,22182.0,22015.0,24348.0,,,,,,,,
15,2016,2017-10-15,14,1,394999.99,1780.0,5299.0,2920.0,5501.0,772.0,1874.0,937.0,1930.0,,,,,,,,
15,2016,2017-10-16,13,2,303399.68,14.0,22.0,3074.0,3672.0,60.0,15.0,5723.0,4535.0,,,,,,,,
15,2016,2017-10-17,13,2,2095146.43,5545.0,11468.0,14083.0,15008.0,3243.0,6864.0,27334.0,26761.0,,,,,,,,
15,2016,2017-10-17,14,1,394341.63,1113.0,1668.0,2594.0,3890.0,1150.0,1700.0,2600.0,3900.0,,,,,,,,
