PooledFundName,PooledFundId,FiscalYear,DonorName,DonorCode,GMSDonorId,GMSDonorName,ContributionAmt,ContributionPercent
Sudan,15,2021,Government of Canada,119,7,Canada,5044014.60,0.30000
Sudan,15,2023,Government of Germany,7,11,Germany,11257813.06,0.67000
Lebanon,71,2016,IRISH AID,23,13,Ireland,1061571.13,0.33000
Yemen,64,2022,Sida,20,22,Sweden,7715689.98,0.62000
oPt,67,2024,Catalan Agency for Development Cooperation,1016,185,Catalan Agency for Development Cooperation,217864.92,0.04000
Pakistan,60,2013,Government of the United Kingdom (Former DFID),19,9,United Kingdom,4651162.79,4.37000
DRC,24,2022,Government of Ireland,129,13,Ireland,2537500.00,0.17000
Colombia (RhPF-LAC),87,2024,Government of Spain,15,21,Spain,554323.73,0.52000
South Sudan,19,2021,Government of Germany,7,11,Germany,19818479.00,1.60000
Somalia,21,2023,Government of Canada,119,7,Canada,6703137.23,0.76000
Myanmar,59,2024,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),23545.84,0.01000
Afghanistan,23,2017,Government of the United Kingdom (Former DFID),19,9,United Kingdom,16076280.00,1.35000
Sudan,15,2024,EUROPEAN UNION,105,105,European Commission,4324324.32,0.26000
Nigeria,75,2018,Government of Netherlands,11,16,Netherlands,8254716.98,2.18000
Niger (RhPF-WCA),84,2023,Government of Luxembourg,10,15,Luxembourg,320170.76,0.46000
Ethiopia,53,2022,Government of Luxembourg,10,15,Luxembourg,799573.56,0.07000
Ethiopia,53,2026,Government of Finland,6,10,Finland,5767012.69,0.51000
Afghanistan,23,2022,Government of Iceland,995,55,Iceland,308190.15,0.03000
CAR,17,2020,Sida,20,22,Sweden,1527276.69,0.41000
DRC,24,2026,Government of Belgium,4,6,Belgium,9953161.59,0.66000
Syria Cross border,70,2025,Government of Netherlands,11,16,Netherlands,6880733.95,0.60000
Myanmar,59,2026,Government of Canada,119,7,Canada,1900040.32,0.46000
Lebanon,71,2020,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),312.00,0.00000
Venezuela,83,2023,Government of Germany,7,11,Germany,2425372.39,3.11000
CAR,17,2022,Government of Switzerland,16,24,Switzerland,1892770.78,0.50000
Afghanistan,23,2016,Sida,20,22,Sweden,10471920.00,0.88000
Nigeria,75,2024,Government of Switzerland,16,24,Switzerland,2284350.89,0.60000
CAR,17,2024,Japan,60,60,Japan,800000.00,0.21000
Ethiopia,53,2008,Government of Spain,15,21,Spain,1293661.06,0.12000
oPt,67,2013,Government of Germany,7,11,Germany,402178.71,0.08000
Syria,62,2023,United Arab Emirates,101,101,United Arab Emirates,15000000.00,1.98000
South Sudan,19,2023,Government of Netherlands,11,16,Netherlands,21676758.73,1.75000
Chad (RhPF-WCA),90,2025,Government of Norway,12,17,Norway,1874378.73,1.61000
Pakistan,60,2010,India,56,56,India,20000000.00,18.77000
DRC,24,2021,Government of Germany,7,11,Germany,23347749.00,1.54000
Syria Cross border,70,2024,Government of Finland,6,10,Finland,1072961.37,0.09000
Lebanon,71,2020,Government of Switzerland,16,24,Switzerland,1091115.59,0.34000
Ethiopia,53,2012,IRISH AID,23,13,Ireland,1093026.15,0.10000
Yemen,64,2019,Government of Azerbaijan,3,5,Azerbaijan,20000.00,0.00000
Afghanistan,23,2018,Government of Switzerland,16,24,Switzerland,1119930.00,0.09000
Syria Cross border,70,2025,IRISH AID,23,13,Ireland,2787068.00,0.24000
South Pacific Envelope (RHPF-AP),507,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,254525.75,5.96000
Sudan,15,2018,Government of Switzerland,16,24,Switzerland,994332.31,0.06000
Somalia,21,2024,Government of Australia,2,3,Australia,2326401.15,0.26000
Yemen,64,2022,Government of Cyprus,45,45,Cyprus,27901.79,0.00000
Yemen,64,2015,Government of Netherlands,11,16,Netherlands,13202048.75,1.06000
DRC,24,2013,Government of Netherlands,11,16,Netherlands,1875000.00,0.12000
Ukraine,81,2024,Government of Canada,119,7,Canada,2948034.99,0.26000
