PooledFundId,AllocationSourceId,AllocationYear,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLocation1Budget,FundType
16,3,2020,North,34.4333,35.85,,1
16,3,2020,North-West,,,,1
16,3,2020,South,33.55,35.3833,,1
16,3,2020,South-West,,,,1
16,3,2020,West,5.5211184,10.6528684,,1
16,3,2022,Est,12.2527495,0.8736106,,1
16,3,2022,Littoral,6.2926138,2.4407501,,1
16,3,2022,Ouest,18.57927007,-72.4276818,,1
16,3,2022,Sud,2.7497556,11.4860732,,1
16,3,2022,Sud-Ouest,10.38692085,-3.283188628,,1
18,4,2016,Ouaka,6,21,,1
18,4,2016,Ouham,7,18,,1
18,4,2017,Haute-Kotto,7.3625645,22.9271411,,1
18,4,2017,Mbomou,5.0764181,23.3093406,,1
18,4,2017,Nana-Gribizi,7.5048007,19.1923579,,1
18,4,2017,Ouham,7,18,,1
18,4,2018,Basse-Kotto,5.1283201,21.3883825,,1
18,4,2018,Nana-Gribizi,7.5048007,19.1923579,,1
18,4,2018,Ouaka,6,21,,1
18,4,2018,Ouham,7,18,,1
18,3,2014,Bangui,4.3667,18.5833,,1
18,3,2014,Kemo,5.9480074,19.2158871,,1
18,3,2014,Ouaka,6,21,,1
18,3,2014,Ouham,7,18,,1
18,3,2016,Haut-Mbomou,6.3497929,25.6508738,,1
18,3,2016,Mbomou,5.0764181,23.3093406,,1
18,3,2017,Haute-Kotto,7.3625645,22.9271411,,1
18,3,2017,Nana-Gribizi,7.5048007,19.1923579,,1
18,3,2017,Ouaka,6,21,,1
18,3,2021,Bangui,4.3667,18.5833,,1
18,3,2021,Ouaka,6,21,,1
18,3,2021,Ouham,7,18,,1
18,3,2022,Kemo,5.9480074,19.2158871,,1
18,3,2022,Ouaka,6,21,,1
18,3,2022,Ouham,7,18,,1
18,3,2022,Ouham Pende,6.7057282,16.1443202,,1
19,4,2014,Lac,13.5820827,14.3788329,,1
19,4,2014,Logone Oriental,8.2047152,16.470181,,1
19,4,2014,Sila,12.11786,21.4458848,,1
19,4,2015,Wadi Fira,15.0191449,21.467319,,1
19,4,2016,Lac,13.5820827,14.3788329,,1
19,4,2016,Logone Occidental,8.7795637,15.9126749,,1
19,4,2016,Logone Oriental,8.2047152,16.470181,,1
19,4,2016,Mandoul,8.72751,17.58417713,,1
19,4,2017,Lac,13.5820827,14.3788329,,1
19,4,2017,Logone Occidental,8.7795637,15.9126749,,1
19,4,2017,Logone Oriental,8.2047152,16.470181,,1
19,4,2017,Mandoul,8.72751,17.58417713,,1
19,4,2019,Lac,13.5820827,14.3788329,,1
19,4,2019,Logone Occidental,8.7795637,15.9126749,,1
19,4,2019,Logone Oriental,8.2047152,16.470181,,1
19,4,2019,Mandoul,8.72751,17.58417713,,1
19,4,2019,Moyen-Chari,9.4407768,18.8160927,,1
19,4,2019,Sila,12.11786,21.4458848,,1
19,4,2019,Wadi Fira,15.0191449,21.467319,,1
19,4,2020,Barh-El-Gazel,14.4682468,16.9416836,,1
19,4,2020,Kanem,15.2264398,15.3151191,,1
19,4,2020,Lac,13.5820827,14.3788329,,1
19,4,2021,Lac,13.5820827,14.3788329,,1
19,4,2022,Lac,13.5820827,14.3788329,,1
19,3,2015,Lac,13.5820827,14.3788329,,1
19,3,2016,Guera,11.6753817,18.4910031,,1
19,3,2016,Kanem,15.2264398,15.3151191,,1
19,3,2016,Lac,13.5820827,14.3788329,,1
19,3,2016,Wadi Fira,15.0191449,21.467319,,1
19,3,2017,Lac,13.5820827,14.3788329,,1
19,3,2018,Batha,13.8367731,18.9649806,,1
19,3,2018,Guera,11.6753817,18.4910031,,1
19,3,2018,Kanem,15.2264398,15.3151191,,1
19,3,2018,Lac,13.5820827,14.3788329,,1
19,3,2018,Wadi Fira,15.0191449,21.467319,,1
19,3,2020,Lac,13.5820827,14.3788329,,1
19,3,2022,Batha,13.8367731,18.9649806,,1
19,3,2022,Lac,13.5820827,14.3788329,,1
19,3,2022,Logone Occidental,8.7795637,15.9126749,,1
19,3,2022,Mandoul,8.72751,17.58417713,,1
19,3,2022,Sila,12.11786,21.4458848,,1
19,3,2022,Wadi Fira,15.0191449,21.467319,,1
22,4,2014,Arauca,6.569909,-70.968822,,1
22,4,2014,Cauca,2.715645,-76.662665,,1
22,4,2014,Guaviare,1.924654,-72.127319,,1
22,4,2014,Meta,3.347656,-72.95518,,1
22,4,2014,Putumayo,0.458448,-75.864116,,1
22,4,2015,Arauca,6.569909,-70.968822,,1
22,4,2015,Cauca,2.715645,-76.662665,,1
22,4,2015,Choco,6.32119225,-77.08385395,,1
22,4,2015,Putumayo,0.458448,-75.864116,,1
22,4,2015,Valle del Cauca,3.858537,-76.518016,,1
22,4,2019,Arauca,6.569909,-70.968822,,1
22,4,2019,Choco,6.32119225,-77.08385395,,1
22,4,2019,Santander,7.0000085,-73.2500086,,1
22,4,2020,Amazonas,3.36082497,-65.94378949,,1
22,3,2018,Arauca,6.569909,-70.968822,,1
22,3,2018,Bolivar,9.3660477,-74.8023636,,1
22,3,2018,La Guajira,11.475968,-72.429918,,1
22,3,2018,Magdalena,10.5808075,-74.0685669,,1
22,3,2018,Norte de Santander,8.095302,-72.880506,,1
22,3,2018,Santander,7.0000085,-73.2500086,,1
22,3,2021,Cauca,2.715645,-76.662665,,1
22,3,2021,Sucre,10.40997648,-63.34957604,,1
22,3,2022,Antioquia,6.92599,-75.570959,,1
22,3,2022,Cauca,2.715645,-76.662665,,1
22,3,2022,Sucre,10.40997648,-63.34957604,,1
22,3,2022,Valle del Cauca,3.858537,-76.518016,,1
79,4,2018,Likouala,,,,1
79,4,2018,Pool,,,,1
79,3,2014,Likouala,,,,1
79,3,2016,Bouenza,,,,1
79,3,2016,Pool,,,,1
79,3,2017,Bouenza,,,,1
79,3,2017,Pool,,,,1
79,3,2019,Cuvette,,,,1
79,3,2019,Likouala,,,,1
79,3,2019,Plateaux,,,,1
79,3,2019,Sangha,,,,1
27,4,2015,Haut-Katanga,-11.659227,27.4741,,1
27,4,2016,Ituri,1.562489,30.248427,,1
27,4,2016,Nord-Kivu,-1.6882,29.2371,,1
27,4,2018,Haut-Katanga,-11.659227,27.4741,,1
27,4,2018,Ituri,1.562489,30.248427,,1
27,4,2018,Kasai,-6.423572,20.795359,,1
27,4,2018,Lomami,-6.133365,24.483333,,1
27,4,2018,Maniema,-2.949743,25.949989,,1
27,4,2018,Nord-Kivu,-1.6882,29.2371,,1
27,4,2018,Sud-Kivu,-2.500021,28.866667,,1
27,4,2018,Tanganyika,-6.255568,29.510771,,1
27,4,2019,Ituri,1.562489,30.248427,,1
27,4,2019,Kasai,-6.423572,20.795359,,1
27,4,2019,Nord-Kivu,-1.6882,29.2371,,1
27,4,2019,Sud-Kivu,-2.500021,28.866667,,1
