PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
71,Lebanon,LBN71,ERF/3604/78048/85469/2026,2026,IRISH AID,23,13,Ireland,IE,3/24/2026 12:00:00 AM,2306805.07,3/23/2026 12:00:00 AM,4/8/2026 12:00:00 AM,2290950.74,1/1/0001 12:00:00 AM,EUR,0.87,EUR,0.87,2000000,2000000,0
71,Lebanon,LBN71,ERF/3604/78050/85477/2026,2026,Government of Norway,12,17,Norway,NO,4/7/2026 12:00:00 AM,1534212.95,3/23/2026 12:00:00 AM,4/16/2026 12:00:00 AM,1591182.22,1/1/0001 12:00:00 AM,NOK,9.67,NOK,9.43,15000000,15000074.79,0
71,Lebanon,LBN71,ERF/3604/78057/85509/2026,2026,Jersey,120,120,Jersey,JE,3/26/2026 12:00:00 AM,140374.33,3/25/2026 12:00:00 AM,4/1/2026 12:00:00 AM,138339.92,1/1/0001 12:00:00 AM,GBP,0.75,GBP,0.76,105000,105000,0
71,Lebanon,LBN71,ERF/3604/78076/85532/2026,2026,Government of Cyprus,45,45,Cyprus,CY,4/9/2026 12:00:00 AM,113608,4/9/2026 12:00:00 AM,4/16/2026 12:00:00 AM,115482.23,1/1/0001 12:00:00 AM,EUR,0.87,EUR,0.86,99179.78,99199.24,0
71,Lebanon,LBN71,ERF/3604/78101/85582/2026,2026,Lithuania,67,67,Lithuania,LT,4/22/2026 12:00:00 AM,58548.01,4/22/2026 12:00:00 AM,5/6/2026 12:00:00 AM,58479.53,1/1/0001 12:00:00 AM,EUR,0.85,EUR,0.85,50000,50000,0
71,Lebanon,LBN71,ERF/3604/78127/85644/2026,2026,Government of Australia,2,3,Australia,AU,5/29/2026 12:00:00 AM,1449275.36,5/8/2026 12:00:00 AM,6/9/2026 12:00:00 AM,1422619.57,1/1/0001 12:00:00 AM,AUD,1.4,AUD,1.41,2000000,2000203.12,0
71,Lebanon,LBN71,ERF/3604/78245/85828/2026,2026,Bulgaria,581,145,Bulgaria,BG,7/30/2026 12:00:00 AM,57142.86,7/30/2026 12:00:00 AM,8/7/2026 12:00:00 AM,57537.4,1/1/0001 12:00:00 AM,EUR,0.88,EUR,0.87,50000,50000,0
71,Lebanon,LBN71,ERF/3604/77407/84178/2024,2026,Government of Australia,2,3,Australia,AU,1/7/2025 12:00:00 AM,2481389.58,12/4/2024 12:00:00 AM,1/20/2026 12:00:00 AM,2683873.13,1/1/0001 12:00:00 AM,AUD,1.54,AUD,1.49,4000000,3998970.96,0
71,Lebanon,LBN71,ERF/3604/77806/84933/2025,2026,Government of Belgium,4,6,Belgium,BE,12/18/2025 12:00:00 AM,2347417.84,11/3/2025 12:00:00 AM,4/23/2026 12:00:00 AM,2341920.37,1/1/0001 12:00:00 AM,EUR,0.86,EUR,0.85,2000000,2000000,0
71,Lebanon,LBN71,ERF/3604/78034/85416/2026,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,3/16/2026 12:00:00 AM,2673796.79,3/9/2026 12:00:00 AM,3/19/2026 12:00:00 AM,2673796.79,1/1/0001 12:00:00 AM,GBP,0.74,GBP,0.75,2000000,2000000,0
